;minimo;maximo;media;mediana;desvio
X01;1;20;8,58064516129032;8;4,63287538812036
X02;3;55;19,258064516129;16;13,4987142912772
X03;1,005;983;178,13288172043;2,015;332,605291214443
X04;1,028;969;388,239591397849;354;235,9119774296
X05;0;3;0,311827956989247;0;0,625169448745453
X06;0;19;4,21505376344086;4;3,41623191341111
X07;0;31;7,09677419354839;5;6,39983783104499
X08;0;1;0,129032258064516;0;0,337052648822912
X09;0;4;0,860215053763441;0;1,09932190413061
X10;0;87;11,1720430107527;9;11,5350351537449
X11;51;302;145,838709677419;134;58,0564362463054
X12;28;787;301,806451612903;289;126,939497576132
X13;0;2;0,150537634408602;0;0,415625159277898
X14;1,019;994;213,135677419355;1,769;363,010425582264
X15;4;262;45,494623655914;28;47,9763582302951
X16;1,208;752;275,840946236559;256;187,26934481083
X17;0;29;8,04301075268817;6;6,30547377541861
